"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","68900","A","","","0"
"2022","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661307","1.3.1.1.4","68000","A","","","0"
"2005","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","46300","A","","","0"
"2006","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","47300","A","","","0"
"2007","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","48000","A","","","0"
"2008","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","49200","A","","","0"
"2009","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","48400","A","","","0"
"2010","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","49200","A","","","0"
"2011","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","49900","A","","","0"
"2012","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","49100","A","","","0"
"2013","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","50400","A","","","0"
"2014","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","50000","A","","","0"
"2015","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","51200","A","","","0"
"2016","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","50800","A","","","0"
"2017","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","51700","A","","","0"
"2018","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","52400","A","","","0"
"2019","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","53900","A","","","0"
"2020","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","55100","A","","","0"
"2021","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","55900","A","","","0"
"2022","Canada","2021A000011124","25 to 54 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661308","1.3.1.1.5","55300","A","","","0"
"2005","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","58700","A","","","0"
"2006","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","58700","A","","","0"
"2007","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","59900","A","","","0"
"2008","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","61600","A","","","0"
"2009","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","60000","A","","","0"
"2010","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","60600","A","","","0"
"2011","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","61100","A","","","0"
"2012","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","61300","A","","","0"
"2013","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","62600","A","","","0"
"2014","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","62900","A","","","0"
"2015","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","63400","A","","","0"
"2016","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","62400","A","","","0"
"2017","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","63200","A","","","0"
"2018","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","64100","A","","","0"
"2019","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","63800","A","","","0"
"2020","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","62800","A","","","0"
"2021","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","66600","A","","","0"
"2022","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661317","1.3.1.3.4","66500","A","","","0"
"2005","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","48000","A","","","0"
"2006","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","48500","A","","","0"
"2007","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","49000","A","","","0"
"2008","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","50800","A","","","0"
"2009","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","49500","A","","","0"
"2010","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","50100","A","","","0"
"2011","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","51200","A","","","0"
"2012","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","50600","A","","","0"
"2013","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","51500","A","","","0"
"2014","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","50900","A","","","0"
"2015","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","52100","A","","","0"
"2016","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","51400","A","","","0"
"2017","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","51400","A","","","0"
"2018","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","52600","A","","","0"
"2019","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","53400","A","","","0"
"2020","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","52800","A","","","0"
"2021","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","54900","A","","","0"
"2022","Canada","2021A000011124","25 to 54 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661318","1.3.1.3.5","54500","A","","","0"
"2005","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","47600","A","","","0"
"2006","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","48400","A","","","0"
"2007","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","48400","A","","","0"
"2008","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","50100","A","","","0"
"2009","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","48900","A","","","0"
"2010","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","49600","A","","","0"
"2011","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","49700","A","","","0"
"2012","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","48900","A","","","0"
"2013","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","50200","A","","","0"
"2014","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","48900","A","","","0"
"2015","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","51400","A","","","0"
"2016","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","51400","A","","","0"
"2017","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","51200","A","","","0"
"2018","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","51800","A","","","0"
"2019","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","52300","A","","","0"
"2020","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","55400","A","","","0"
"2021","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","57100","A","","","0"
"2022","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661532","1.4.1.1.4","55000","A","","","0"
"2005","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","41500","A","","","0"
"2006","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","42000","A","","","0"
"2007","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","42200","A","","","0"
"2008","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","44500","A","","","0"
"2009","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","43000","A","","","0"
"2010","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","43200","B","","","0"
"2011","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","43500","A","","","0"
"2012","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","42500","A","","","0"
"2013","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","42900","A","","","0"
"2014","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","41800","A","","","0"
"2015","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","44400","A","","","0"
"2016","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","43900","A","","","0"
"2017","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","44500","A","","","0"
"2018","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","44800","A","","","0"
"2019","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","46500","A","","","0"
"2020","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","47700","A","","","0"
"2021","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","50000","A","","","0"
"2022","Canada","2021A000011124","25 to 34 years","Both sexes","Total income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661533","1.4.1.1.5","48100","A","","","0"
"2005","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","47400","A","","","0"
"2006","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","48000","A","","","0"
"2007","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","47700","A","","","0"
"2008","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","50200","A","","","0"
"2009","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","48400","A","","","0"
"2010","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","49400","A","","","0"
"2011","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","49600","A","","","0"
"2012","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","48800","A","","","0"
"2013","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","50600","A","","","0"
"2014","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","49000","A","","","0"
"2015","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","51600","A","","","0"
"2016","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","50500","A","","","0"
"2017","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","50200","A","","","0"
"2018","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","51400","A","","","0"
"2019","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","52000","A","","","0"
"2020","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","51200","A","","","0"
"2021","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","54000","A","","","0"
"2022","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661542","1.4.1.3.4","52900","A","","","0"
"2005","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","41900","A","","","0"
"2006","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","41600","A","","","0"
"2007","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","41500","A","","","0"
"2008","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","44800","A","","","0"
"2009","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","42500","A","","","0"
"2010","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","42500","B","","","0"
"2011","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","42900","A","","","0"
"2012","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","42500","A","","","0"
"2013","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","42800","A","","","0"
"2014","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","41700","A","","","0"
"2015","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","44400","A","","","0"
"2016","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","43000","A","","","0"
"2017","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","43400","A","","","0"
"2018","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","44400","A","","","0"
"2019","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","46100","A","","","0"
"2020","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","44000","A","","","0"
"2021","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","47300","A","","","0"
"2022","Canada","2021A000011124","25 to 34 years","Both sexes","Employment income","Median income (excluding zeros)","2022 constant dollars","439","units","0","v107661543","1.4.1.3.5","45900","A","","","0"
"2005","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","59300","A","","","0"
"2006","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","58800","A","","","0"
"2007","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","61800","A","","","0"
"2008","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","63300","A","","","0"
"2009","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","63700","A","","","0"
"2010","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","64300","A","","","0"
"2011","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","65400","A","","","0"
"2012","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","64400","A","","","0"
"2013","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","66600","A","","","0"
"2014","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","68800","A","","","0"
"2015","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","67300","A","","","0"
"2016","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","66000","A","","","0"
"2017","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","66800","A","","","0"
"2018","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","68400","A","","","0"
"2019","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","68900","A","","","0"
"2020","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","72600","A","","","0"
"2021","Canada","2021A000011124","35 to 44 years","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107661757","1.5.1.1.4","72600","A","","","0"
